Unique System Identifier,Call Sign,Overall Height of Structure,Latitude,Longitude
11497,KNKN848,125.6,38.63708333333333,-81.28477777777778
11497,KNKN848,59.1,39.037416666666665,-81.61802777777777
11497,KNKN848,128.0,38.95938888888889,-81.082
11497,KNKN848,125.9,38.665277777777774,-81.625
11497,KNKN848,83.8,38.848444444444446,-81.915
11497,KNKN848,99.1,38.627722222222225,-81.64144444444445
11497,KNKN848,99.1,38.56963888888889,-81.27722222222222
11497,KNKN848,92.4,38.77833333333333,-81.8321111111111
11497,KNKN848,85.3,38.56383333333333,-81.13761111111111
11503,KNKN893,91.4,40.226333333333336,-76.54641666666666
11503,KNKN893,60.6,40.32369444444445,-76.59508333333333
11503,KNKN893,82.3,40.39388888888889,-76.62402777777777
11503,KNKN893,61.0,40.36825,-76.26263888888889
11503,KNKN893,91.1,40.50241666666667,-76.54286111111111
11503,KNKN893,37.8,40.2605,-76.58094444444444
11503,KNKN893,59.8,40.37441666666667,-76.453361111111107
11509,KNKA667,59.4,43.94144444444444,-92.37305555555555
11509,KNKA667,39.6,43.92027777777778,-92.47888888888889
11509,KNKA667,60.0,43.86252777777778,-92.17402777777778
11509,KNKA667,93.9,44.21377777777778,-92.65386111111111
11509,KNKA667,78.6,44.021277777777776,-92.29880555555556
11509,KNKA667,85.1,44.04552777777778,-92.39872222222223
11509,KNKA667,57.9,43.94347222222222,-92.04052777777778
11509,KNKA667,90.5,44.09283333333334,-92.48483333333333
11509,KNKA667,92.0,44.024055555555556,-92.59833333333333
11509,KNKA667,93.3,44.00672222222222,-92.71861111111112
11510,KNKA679,12.8,47.68377777777778,-122.36358333333332
11510,KNKA679,45.4,47.691111111111105,-122.71527777777779
11510,KNKA679,128.9,47.48027777777778,-122.53388888888888
11510,KNKA679,50.9,47.692,-122.82166666666666
11510,KNKA679,47.8,47.51708333333333,-122.57216666666666
11510,KNKA679,51.8,47.810944444444445,-122.6236111111111
11511,KNKA700,7.2,46.53080555555555,-120.45802777777779
11511,KNKA700,67.7,46.30777777777777,-120.0633611111111
11511,KNKA700,32.0,46.73477777777778,-120.42877777777778
11511,KNKA700,32.0,46.63869444444445,-121.39219444444446
11511,KNKA700,62.2,47.059749999999994,-120.72291666666666
11511,KNKA700,19.8,45.78033333333333,-120.55672222222222
11511,KNKA700,56.1,46.40152777777778,-119.60563888888888
11511,KNKA700,18.6,46.65175,-120.96280555555556
11511,KNKA700,19.8,47.00352777777778,-120.18947222222222
11511,KNKA700,11.0,46.938027777777776,-121.50011111111111
11512,KNKA755,80.8,47.64933333333333,-117.88472222222222
11512,KNKA755,48.2,47.337472222222225,-117.39055555555557
11512,KNKA755,48.8,47.433611111111105,-117.78666666666666
11512,KNKA755,17.1,47.55191666666666,-117.72697222222223
11512,KNKA755,31.7,47.69808333333333,-117.09255555555555
11512,KNKA755,25.9,47.78263888888889,-117.11149999999999
11512,KNKA755,34.1,48.087722222222226,-117.28786111111111
11512,KNKA755,19.8,47.40108333333333,-117.13438888888889
11513,KNKA817,92.4,46.095,-119.19583333333334
11513,KNKA817,78.0,46.11513888888889,-119.02608333333333
11513,KNKA817,76.2,46.43061111111111,-119.014
11513,KNKA817,79.2,46.77869444444444,-118.78269444444445
11513,KNKA817,32.3,46.18552777777777,-119.75505555555556
11513,KNKA817,56.1,46.40152777777778,-119.60563888888888
11513,KNKA817,65.2,46.831500000000005,-119.17666666666668
11513,KNKA817,34.7,46.806666666666665,-119.55683333333333
11514,KNKA467,91.7,18.048222222222225,-66.44441666666667
11514,KNKA467,68.6,18.172416666666667,-66.59169444444444
11514,KNKA467,58.5,18.114833333333333,-66.65886111111112
11514,KNKA467,11.3,18.1435,-66.49213888888889
11515,KNKA627,89.3,18.441472222222224,-67.14675000000001
11515,KNKA627,18.3,18.19836111111111,-67.14136111111112
11515,KNKA627,82.6,18.47936111111111,-67.01463888888888
11515,KNKA627,38.1,18.33675,-67.01141666666666
11516,KNKA362,87.5,42.94969444444444,-84.10797222222222
11516,KNKA362,92.0,42.814,-84.20530555555555
11516,KNKA362,92.0,43.190777777777775,-83.77072222222222
11516,KNKA362,69.8,42.885555555555555,-83.615
11516,KNKA362,86.3,43.096833333333336,-83.57358333333333
11516,KNKA362,46.9,43.17444444444444,-83.905
11516,KNKA362,111.6,42.94763888888888,-83.50080555555556
11516,KNKA362,91.0,42.99805555555556,-84.25638888888889
11516,KNKA362,71.9,43.01452777777778,-83.45680555555556
11516,KNKA362,56.1,42.80741666666666,-83.73191666666666
11516,KNKA362,49.4,43.18194444444444,-83.71000000000001
11516,KNKA362,152.1,43.2,-83.55833333333334
11516,KNKA362,39.3,42.878083333333336,-83.47466666666666
11516,KNKA362,56.1,42.79347222222222,-83.81108333333333
11517,KNKA581,96.0,32.39077777777778,-81.37091666666666
11517,KNKA581,106.1,32.123111111111115,-81.62694444444443
11517,KNKA581,54.8,31.936194444444446,-81.04136111111112
11517,KNKA581,97.5,31.9,-81.37230555555554
11517,KNKA581,51.8,32.08813888888889,-81.09594444444444
11517,KNKA581,82.3,32.217222222222226,-81.5125
11518,KNKA529,42.1,37.00266666666667,-122.05222222222221
11518,KNKA529,32.0,36.97786111111111,-121.79763888888888
11518,KNKA529,13.4,36.99197222222222,-122.0645
11518,KNKA529,17.1,36.94,-121.83427777777777
11518,KNKA529,25.3,36.91130555555556,-121.75844444444445
11518,KNKA529,37.5,36.93308333333333,-121.78697222222222
11518,KNKA529,13.4,36.91280555555556,-121.64036111111112
11518,KNKA529,24.7,37.13397222222222,-121.98125
